AllTrace
Swept SA
A.27.05,N9030B
550 B1X B1Y B25 B40 DP2 DP4 EP1 FS1 FS2 FSA LFE MPB NF2 NUL P50 PFR RTL RTS RT1 ESC FT1 RCL ,01
Segment,0
Number of Points,1001
Sweep Time,0.015
Start Frequency,1000000000
Stop Frequency,10000000000
Average Count,0
Average Type,LogPower(Video)
RBW,6000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,6000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold,Maxhold,Maxhold,Clearwrite,Clearwrite,Clearwrite
Detector,Peak,Peak,Peak,Normal,Normal,Normal
Trace Math,Off,Off,Off,Off,Off,Off
Trace Math Oper1,Trace5,Trace6,Trace1,Trace2,Trace3,Trace4
Trace Math Oper2,Trace6,Trace1,Trace2,Trace3,Trace4,Trace5
Trace Math Offset,0,0,0,0,0,0
Normalize,Off
Trace Name,Trace1,Trace2,Trace3,Trace4,Trace5,Trace6
X Axis Units,Hz
Y Axis Units,dBuV
DATA
1000000000,94.3575910879769,94.3722900702157,94.3239855124154,-893.01029995664,-893.01029995664,-893.01029995664
1009000000,94.3346010385384,94.3221069513192,94.2855611978402,-893.01029995664,-893.01029995664,-893.01029995664
1018000000,94.2983806653084,94.2925012631478,94.2941721005501,-893.01029995664,-893.01029995664,-893.01029995664
1027000000,94.2982892898812,94.2916755584969,94.2933463958992,-893.01029995664,-893.01029995664,-893.01029995664
1036000000,94.3013631595101,94.2954837573494,94.2956849826302,-893.01029995664,-893.01029995664,-893.01029995664
1045000000,94.252808916346,94.2337001440682,94.2177327749886,-893.01029995664,-893.01029995664,-893.01029995664
1054000000,94.2218928796639,94.2079291803231,94.2206244928231,-893.01029995664,-893.01029995664,-893.01029995664
1063000000,94.2130353299202,94.2012755719246,94.1911876050057,-893.01029995664,-893.01029995664,-893.01029995664
1072000000,94.2195910644784,94.1990126800789,94.2095030975594,-893.01029995664,-893.01029995664,-893.01029995664
1081000000,94.1974850711312,94.1820508059945,94.1925412234749,-893.01029995664,-893.01029995664,-893.01029995664
1090000000,94.1827271383919,94.1628840368905,94.172639171473,-893.01029995664,-893.01029995664,-893.01029995664
1099000000,94.1716456201424,94.1451878335824,94.1468586709847,-893.01029995664,-893.01029995664,-893.01029995664
1108000000,94.1385141980233,94.0973583828988,94.1004988324227,-893.01029995664,-893.01029995664,-893.01029995664
1117000000,94.1141460891976,94.0847481247201,94.0548170562996,-893.01029995664,-893.01029995664,-893.01029995664
1126000000,94.0941839557137,94.0971231799569,94.0723362307992,-893.01029995664,-893.01029995664,-893.01029995664
1135000000,94.0804016318001,94.0539438452401,94.0467951025643,-893.01029995664,-893.01029995664,-893.01029995664
1144000000,94.0500768731942,94.0089201043953,94.0319046090951,-893.01029995664,-893.01029995664,-893.01029995664
1153000000,93.9668374951424,93.9491992886605,93.9126535351815,-893.01029995664,-893.01029995664,-893.01029995664
1162000000,93.9519470016732,93.9453323166146,93.9264247696175,-893.01029995664,-893.01029995664,-893.01029995664
1171000000,93.9128036166634,93.909128155848,93.9152087832894,-893.01029995664,-893.01029995664,-893.01029995664
1180000000,93.8817435751595,93.8714543829598,93.8834153662362,-893.01029995664,-893.01029995664,-893.01029995664
1189000000,93.8756726617684,93.8690579767098,93.867789589869,-893.01029995664,-893.01029995664,-893.01029995664
1198000000,93.9092879513802,93.8887095669808,93.8845010022225,-893.01029995664,-893.01029995664,-893.01029995664
1207000000,93.8628232086434,93.8459202850594,93.8586146438851,-893.01029995664,-893.01029995664,-893.01029995664
1216000000,93.8545321414437,93.8376292178597,93.8503235766854,-893.01029995664,-893.01029995664,-893.01029995664
1225000000,93.8146391684212,93.8168440634408,93.7949972922005,-893.01029995664,-893.01029995664,-893.01029995664
1234000000,93.8075907388558,93.8009760537972,93.7710449853768,-893.01029995664,-893.01029995664,-893.01029995664
1243000000,93.7558817410531,93.7382425808968,93.7751907849373,-893.01029995664,-893.01029995664,-893.01029995664
1252000000,93.7372442611947,93.7166658767952,93.7455297836556,-893.01029995664,-893.01029995664,-893.01029995664
1261000000,93.7434728854622,93.7405327075448,93.7304447406258,-893.01029995664,-893.01029995664,-893.01029995664
1270000000,93.7348423102059,93.7267580130257,93.707116136805,-893.01029995664,-893.01029995664,-893.01029995664
1279000000,93.6762353860726,93.6644765817513,93.6867258035531,-893.01029995664,-893.01029995664,-893.01029995664
1288000000,93.6638253995003,93.6594156094613,93.6713756390633,-893.01029995664,-893.01029995664,-893.01029995664
1297000000,93.6472554855599,93.6435809784188,93.6254087143197,-893.01029995664,-893.01029995664,-893.01029995664
1306000000,93.638035539576,93.6350953616585,93.6220672168221,-893.01029995664,-893.01029995664,-893.01029995664
1315000000,93.6030921362557,93.5854539297738,93.5900639914193,-893.01029995664,-893.01029995664,-893.01029995664
1324000000,93.5630046136727,93.5666791208138,93.5962773568978,-893.01029995664,-893.01029995664,-893.01029995664
1333000000,93.5655425183358,93.5626032940926,93.5525153271737,-893.01029995664,-893.01029995664,-893.01029995664
1342000000,93.5429854370369,93.5429854370369,93.5306925750985,-893.01029995664,-893.01029995664,-893.01029995664
1351000000,93.5118948779549,93.5089556537118,93.5135657153573,-893.01029995664,-893.01029995664,-893.01029995664
1360000000,93.47698580691,93.4711064047493,93.4786566443123,-893.01029995664,-893.01029995664,-893.01029995664
1369000000,93.4649401239266,93.4546509317269,93.4541168741097,-893.01029995664,-893.01029995664,-893.01029995664
1378000000,93.4408047116341,93.4408047116341,93.4241020596566,-893.01029995664,-893.01029995664,-893.01029995664
1387000000,93.4196085235848,93.4166683456673,93.4095205566659,-893.01029995664,-893.01029995664,-893.01029995664
1396000000,93.396207440516,93.3815084582772,93.3949390536751,-893.01029995664,-893.01029995664,-893.01029995664
1405000000,93.3610809317269,93.3544672003426,93.3517282477059,-893.01029995664,-893.01029995664,-893.01029995664
1414000000,93.3583259439339,93.3539161538949,93.3519124841561,-893.01029995664,-893.01029995664,-893.01029995664
1423000000,93.3357269009652,93.3232337674202,93.3381330212655,-893.01029995664,-893.01029995664,-893.01029995664
